"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"9986","OPTCUR","USDINR","OPTION","27-May-2022",68.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",8.56,9.56,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.02,"USDINR"
"9988","OPTCUR","USDINR","OPTION","27-May-2022",68.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",8.31,9.31,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.775,"USDINR"
"9990","OPTCUR","USDINR","OPTION","27-May-2022",69,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",8.06,9.06,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.5275,"USDINR"
"9992","OPTCUR","USDINR","OPTION","27-May-2022",69.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",270,1,1000,0.0025,"US Dollars","","","","",7.805,8.805,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.305,"USDINR"
"9994","OPTCUR","USDINR","OPTION","27-May-2022",69.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",155,1,1000,0.0025,"US Dollars","","","","",7.555,8.555,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.055,"USDINR"
"9996","OPTCUR","USDINR","OPTION","27-May-2022",69.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",7.305,8.305,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.805,"USDINR"
"9998","OPTCUR","USDINR","OPTION","27-May-2022",70,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",3007,1,1000,0.0025,"US Dollars","","","","",7.07,8.07,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.57,"USDINR"
"10000","OPTCUR","USDINR","OPTION","27-May-2022",70.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.805,7.805,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.305,"USDINR"
"10002","OPTCUR","USDINR","OPTION","27-May-2022",70.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",5,1,1000,0.0025,"US Dollars","","","","",6.555,7.555,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.055,"USDINR"
"10004","OPTCUR","USDINR","OPTION","27-May-2022",70.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.305,7.305,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.805,"USDINR"
"10006","OPTCUR","USDINR","OPTION","27-May-2022",71,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",933,1,1000,0.0025,"US Dollars","","","","",6.055,7.055,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.555,"USDINR"
"10008","OPTCUR","USDINR","OPTION","27-May-2022",71.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.805,6.805,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.305,"USDINR"
"10010","OPTCUR","USDINR","OPTION","27-May-2022",71.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.555,6.555,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.055,"USDINR"
"10012","OPTCUR","USDINR","OPTION","27-May-2022",71.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.305,6.305,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.805,"USDINR"
